City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Guilin,CN,2023-01-05 01:09:53,25.2819,110.2864,54.7,60,100,5.3
271,Hofn,IS,2023-01-05 01:09:54,64.2539,-15.2082,33.44,81,92,7.47
272,Rocha,UY,2023-01-05 01:06:31,-34.4833,-54.3333,56.21,74,0,3.44
273,Geraldton,AU,2023-01-05 01:09:55,-28.7667,114.6,95.41,14,3,24.16
274,Hovd,MN,2023-01-05 01:09:56,48.0056,91.6419,3.74,61,89,10.85
275,Vila Velha,BR,2023-01-05 01:09:52,-20.3297,-40.2925,78.75,87,40,11.5
276,Celestun,MX,2023-01-05 01:10:27,20.8667,-90.4,76.28,86,29,11.97
277,Kodiak,US,2023-01-05 01:10:27,57.79,-152.4072,33.31,100,100,3.44
278,Verkhoyansk,RU,2023-01-05 01:10:28,67.5447,133.385,-32.15,92,100,1.34
279,Sakakah,SA,2023-01-05 01:08:30,29.9697,40.2064,42.17,76,0,10.11
280,Meulaboh,ID,2023-01-05 01:10:28,4.1363,96.1285,76.21,87,100,2.59
281,Varia,FR,2023-01-05 01:10:29,44.5725,-0.1104,52.48,81,98,5.06
282,Darmanesti,RO,2023-01-05 01:10:30,46.3667,26.4833,33.98,80,28,7.47
283,Lubango,AO,2023-01-05 01:10:30,-14.9172,13.4925,57.4,89,25,1.77
284,Dingle,PH,2023-01-05 01:10:31,10.9995,122.6711,80.06,84,68,11.74
285,Mahebourg,MU,2023-01-05 01:10:31,-20.4081,57.7,75.25,77,64,12.41
286,Sonkovo,RU,2023-01-05 01:10:32,57.7782,37.1571,4.96,97,100,5.93
287,Lake Havasu City,US,2023-01-05 01:08:37,34.4839,-114.3224,64.22,58,75,5.75
288,Yudong,CN,2023-01-05 01:10:33,29.385,106.5194,51.49,86,100,1.83
289,Le Port,RE,2023-01-05 01:10:34,-20.9373,55.2919,79.9,92,15,2.91
290,Tchaourou,BJ,2023-01-05 01:10:34,8.8865,2.5975,76.24,28,100,4.54
291,Santa Rosa De Aguan,HN,2023-01-05 01:10:35,15.95,-85.7167,78.73,81,0,18.01
292,Vostok,RU,2023-01-05 01:10:35,46.4856,135.8833,-0.94,91,39,4.43
293,Svetlogorsk,BY,2023-01-05 01:10:36,52.6333,29.7333,32.34,98,100,13.65
294,Namatanai,PG,2023-01-05 01:10:36,-3.6667,152.4333,85.93,65,80,7.67
